,종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
77,175330,JB금융지주,6630,10,0.15,1641.0,4.04,17615.0,0.38,300,4.52
78,234080,JW생명과학,19650,450,2.34,1385.0,14.19,7744.0,2.54,500,2.54
79,067290,JW신약,5320,-20,-0.37,33.0,161.21,1514.0,3.51,60,1.13
80,001060,JW중외제약,30200,600,2.03,,,10059.0,3.0,325,1.08
81,001067,JW중외제약2우B,64900,-100,-0.15,,,,,350,0.54
82,001065,JW중외제약우,36950,500,1.37,,,,,350,0.95
83,096760,JW홀딩스,4825,50,1.05,,,2191.0,2.2,90,1.87
84,035900,JYP Ent.,34050,-250,-0.73,947.0,35.96,4477.0,7.61,155,0.46
85,024840,KBI메탈,2340,5,0.21,196.0,11.94,2735.0,0.86,0,0.0
86,105560,KB금융,53400,800,1.52,8451.0,6.32,92672.0,0.58,2210,4.14
87,024120,KB오토시스,10250,100,0.99,930.0,11.02,8912.0,1.15,230,2.24
88,002380,KCC,280500,8500,3.13,,,421723.0,0.67,5500,1.96
89,021320,KCC건설,10850,800,7.96,1319.0,8.23,17642.0,0.62,150,1.38
90,036670,KCI,9760,40,0.41,1061.0,9.2,5775.0,1.69,200,2.05
91,009070,KCTC,6060,-80,-1.3,239.0,25.36,6409.0,0.95,45,0.74
92,009440,KC그린홀딩스,4930,-80,-1.6,369.0,13.36,7996.0,0.62,60,1.22
93,119650,KC코트렐,9100,-100,-1.09,149.0,61.07,5805.0,1.57,30,0.33
94,044180,KD,2310,530,29.78,,,2170.0,1.06,0,0.0
95,092220,KEC,2360,40,1.72,,,1782.0,1.32,0,0.0
96,151860,KG ETS,6440,-30,-0.46,2789.0,2.31,6733.0,0.96,110,1.71
97,016380,KG동부제철,15700,100,0.64,,,8886.0,1.77,0,0.0
98,016385,KG동부제철우,120000,-1000,-0.83,,,,,0,0.0
99,046440,KG모빌리언스,10400,-100,-0.95,619.0,16.8,7541.0,1.38,200,1.92
100,035600,KG이니시스,20600,-150,-0.72,1847.0,11.15,8937.0,2.31,330,1.6
101,001390,KG케미칼,27700,200,0.73,7691.0,3.6,26210.0,1.06,350,1.26
102,226360,KH E&T,2200,-50,-2.22,,,1374.0,1.6,0,0.0
103,060720,KH바텍,21900,-250,-1.13,,,7998.0,2.74,0,0.0
104,001940,KISCO홀딩스,17500,-100,-0.57,2909.0,6.02,44246.0,0.4,280,1.6
105,122450,KMH,11550,-300,-2.53,334.0,34.58,4835.0,2.39,70,0.61
106,052900,KMH하이텍,2240,95,4.43,48.0,46.67,1358.0,1.65,0,0.0
107,058400,KNN,2175,10,0.46,61.0,35.66,1479.0,1.47,20,0.92
108,114450,KPX생명과학,9440,280,3.06,80.0,118.0,4024.0,2.35,0,0.0
109,025000,KPX케미칼,66100,1000,1.54,8571.0,7.71,96367.0,0.69,2500,3.78
110,092230,KPX홀딩스,63100,200,0.32,8406.0,7.51,149477.0,0.42,2600,4.12
111,000040,KR모터스,1375,-30,-2.14,,,318.0,4.32,0,0.0
112,044450,KSS해운,10900,50,0.46,1034.0,10.54,12026.0,0.91,270,2.48
113,030200,KT,27850,-100,-0.36,2526.0,11.03,52341.0,0.53,1100,3.95
114,033780,KT&G,82000,400,0.49,8208.0,9.99,63008.0,1.3,4400,5.37
115,030210,KTB투자증권,6180,-110,-1.75,681.0,9.07,8098.0,0.76,150,2.43
116,036030,KTH,11600,-450,-3.73,40.0,290.0,5741.0,2.02,0,0.0
117,058850,KTcs,3025,35,1.17,178.0,16.99,3715.0,0.81,80,2.64
118,058860,KTis,3055,35,1.16,272.0,11.23,4835.0,0.63,90,2.95
119,060370,KT서브마린,6140,0,0.0,24.0,255.83,4680.0,1.31,30,0.49
120,093050,LF,18750,-150,-0.79,2313.0,8.11,41768.0,0.45,500,2.67
121,003550,LG,95000,4300,4.74,6143.0,15.46,107050.0,0.89,2200,2.32
122,034220,LG디스플레이,24700,-700,-2.76,,,31694.0,0.78,0,0.0
123,001120,LG상사,30550,-350,-1.13,739.0,41.34,30224.0,1.01,300,0.98
124,051900,LG생활건강,1564000,-2000,-0.13,46431.0,33.68,234042.0,6.68,11000,0.7
125,051905,LG생활건강우,683000,-1000,-0.15,,,,,11050,1.62
126,003555,LG우,73500,1600,2.23,,,,,2250,3.06
127,032640,LG유플러스,12600,-100,-0.79,1005.0,12.54,16218.0,0.78,400,3.17
128,011070,LG이노텍,208000,-2500,-1.19,4323.0,48.11,93151.0,2.23,300,0.14
129,066570,LG전자,156500,-2000,-1.26,169.0,926.04,79245.0,1.97,750,0.48
130,066575,LG전자우,72700,-600,-0.82,,,,,800,1.1
131,108670,LG하우시스,87000,0,0.0,1154.0,75.39,91420.0,0.95,250,0.29
132,108675,LG하우시스우,38950,150,0.39,,,,,300,0.77
133,037560,LG헬로비전,4935,70,1.44,,,12283.0,0.4,75,1.52
134,051910,LG화학,817000,5000,0.62,4085.0,200.0,217230.0,3.76,2000,0.24
135,051915,LG화학우,390000,6500,1.69,,,,,2050,0.53
136,079550,LIG넥스원,42500,-500,-1.16,145.0,293.1,28817.0,1.47,600,1.41
137,006260,LS,65700,-100,-0.15,912.0,72.04,98330.0,0.67,1450,2.21
138,010120,LS ELECTRIC,60900,-100,-0.16,3542.0,17.19,45353.0,1.34,1200,1.97
139,000680,LS네트웍스,2940,5,0.17,,,6590.0,0.45,0,0.0
140,229640,LS전선아시아,8050,0,0.0,523.0,15.39,4591.0,1.75,180,2.24
141,023150,MH에탄올,9460,420,4.65,,,7785.0,1.22,350,3.7
142,065150,MP그룹,895,0,0.0,11.0,81.36,252.0,3.55,0,0.0
143,219550,MP한강,901,1,0.11,,,536.0,1.68,0,0.0
144,035420,NAVER,385500,2000,0.52,4006.0,96.23,35223.0,10.94,376,0.1
145,160550,NEW,13400,1050,8.5,,,3979.0,3.37,0,0.0
146,053290,NE능률,21300,-1750,-7.59,59.0,361.02,3886.0,5.48,0,0.0
147,181710,NHN,73100,-500,-0.68,656.0,111.43,80696.0,0.91,0,0.0
148,104200,NHN벅스,6560,-110,-1.65,341.0,19.24,4560.0,1.44,0,0.0
149,060250,NHN한국사이버결제,51300,400,0.79,1040.0,49.33,5192.0,9.88,230,0.45
150,005940,NH투자증권,11950,-50,-0.42,1585.0,7.54,17934.0,0.67,500,4.18
151,005945,NH투자증권우,10050,80,0.8,,,,,550,5.47
152,034310,NICE,17700,150,0.85,771.0,22.96,18100.0,0.98,230,1.3
153,030190,NICE평가정보,23950,50,0.21,682.0,35.12,3692.0,6.49,230,0.96
154,008260,NI스틸,4025,55,1.39,224.0,17.97,3877.0,1.04,50,1.24
155,004250,NPC,4485,-85,-1.86,343.0,13.08,6745.0,0.66,100,2.23
156,004255,NPC우,2480,20,0.81,,,,,105,4.23
157,010060,OCI,118000,-2000,-1.67,,,110515.0,1.07,0,0.0
158,078590,OQP,3890,0,0.0,,,442.0,8.8,0,0.0
159,178920,PI첨단소재,45050,-700,-1.53,603.0,74.71,8557.0,5.26,315,0.7
160,024940,PN풍년,6340,-290,-4.37,577.0,10.99,3828.0,1.66,25,0.39
161,005490,POSCO,329500,1500,0.46,22823.0,14.44,510076.0,0.65,10000,3.03
162,218410,RFHIC,37700,-600,-1.57,857.0,43.99,8351.0,4.51,200,0.53
163,091340,S&K폴리텍,5400,80,1.5,1368.0,3.95,7586.0,0.71,0,0.0
164,010950,S-Oil,78200,-700,-0.89,561.0,139.39,55715.0,1.4,200,0.26
165,010955,S-Oil우,43950,-400,-0.9,,,,,225,0.51
166,019550,SBI인베스트먼트,2780,640,29.91,71.0,39.15,583.0,4.77,0,0.0
167,034120,SBS,22800,550,2.47,1114.0,20.47,31799.0,0.72,150,0.66
168,101060,SBS미디어홀딩스,2105,15,0.72,,,4162.0,0.51,0,0.0
169,046140,SBS콘텐츠허브,7030,0,0.0,26.0,270.38,7234.0,0.97,0,0.0
170,036120,SCI평가정보,4535,70,1.57,141.0,32.16,610.0,7.43,69,1.52
171,099220,SDN,3015,-15,-0.5,93.0,32.42,1642.0,1.84,0,0.0
172,036540,SFA반도체,7990,-100,-1.24,146.0,54.73,2066.0,3.87,0,0.0
173,255220,SG,2060,5,0.24,287.0,7.18,1924.0,1.07,0,0.0
174,040610,SG&G,3085,55,1.82,49.0,62.96,7017.0,0.44,0,0.0
175,049470,SGA,1145,40,3.62,,,577.0,1.98,0,0.0
176,184230,SGA솔루션즈,1565,60,3.99,,,496.0,3.16,0,0.0
177,005090,SGC에너지,41100,500,1.23,,,56341.0,0.73,1000,2.43
178,016250,SGC이테크건설,53200,-900,-1.66,6410.0,8.3,91954.0,0.58,1500,2.82
179,004060,SG세계물산,834,45,5.7,48.0,17.38,1012.0,0.82,0,0.0
180,001380,SG충방,4485,65,1.47,17.0,263.82,2893.0,1.55,0,0.0
181,002360,SH에너지화학,988,-22,-2.18,,,876.0,1.13,0,0.0
182,009160,SIMPAC,3630,125,3.57,157.0,23.12,6743.0,0.54,60,1.65
183,123700,SJM,4270,-65,-1.5,438.0,9.75,10621.0,0.4,125,2.93
184,025530,SJM홀딩스,3830,10,0.26,363.0,10.55,10066.0,0.38,175,4.57
185,034730,SK,295500,2500,0.85,12917.0,22.88,235255.0,1.26,5000,1.69
186,307070,SK4호스팩,2060,10,0.49,,,,,0,0.0
187,337450,SK5호스팩,2100,5,0.24,,,,,0,0.0
188,340350,SK6호스팩,2090,10,0.48,,,,,0,0.0
189,011790,SKC,144000,7500,5.49,1686.0,85.41,41542.0,3.47,1000,0.69
190,018670,SK가스,103000,0,0.0,17794.0,5.79,180030.0,0.57,3000,2.91
191,001740,SK네트웍스,5520,-20,-0.36,,,8713.0,0.63,120,2.17
192,001745,SK네트웍스우,119500,3000,2.58,,,,,145,0.12
193,006120,SK디스커버리,58700,200,0.34,8846.0,6.64,82498.0,0.71,700,1.19
194,006125,SK디스커버리우,43000,950,2.26,,,,,750,1.74
195,210980,SK디앤디,36850,-250,-0.67,2365.0,15.58,19032.0,1.94,600,1.63
196,068400,SK렌터카,10600,-50,-0.47,740.0,14.32,9639.0,1.1,0,0.0
197,036490,SK머티리얼즈,332300,12100,3.78,13507.0,24.6,44730.0,7.43,3850,1.16
198,302440,SK바이오사이언스,132000,1500,1.15,240.0,550.0,3803.0,34.71,0,0.0
199,326030,SK바이오팜,110000,1000,0.92,,,,,0,0.0
200,03473K,SK우,268000,5500,2.1,,,,,5050,1.88
201,096770,SK이노베이션,266500,28500,11.97,,,186398.0,1.43,3000,1.13
202,096775,SK이노베이션우,202500,25500,14.41,,,,,3050,1.51
203,001510,SK증권,1055,-5,-0.47,67.0,15.75,1197.0,0.88,10,0.95
204,001515,SK증권우,5730,370,6.9,,,,,15,0.26
205,285130,SK케미칼,263500,3500,1.35,802.0,328.55,54214.0,4.86,450,0.17
206,28513K,SK케미칼우,116500,3000,2.64,,,,,500,0.43
207,017670,SK텔레콤,283000,6500,2.35,12144.0,23.3,284310.0,1.0,10000,3.53
208,000660,SK하이닉스,137500,-2500,-1.79,2943.0,46.72,65836.0,2.09,1000,0.73
209,048550,SM C&C,1905,5,0.26,40.0,47.63,1237.0,1.54,0,0.0
210,063440,SM Life Design,3805,-175,-4.4,,,1084.0,3.51,0,0.0
211,064960,SNT모티브,59800,-200,-0.33,181.0,330.39,50329.0,1.19,1400,2.34
212,100840,SNT에너지,18100,-50,-0.28,2148.0,8.43,32631.0,0.55,800,4.42
213,003570,SNT중공업,7330,-20,-0.27,622.0,11.78,18558.0,0.39,300,4.09
214,036530,SNT홀딩스,18350,200,1.1,4072.0,4.51,46992.0,0.39,500,2.72
215,005610,SPC삼립,74100,200,0.27,2492.0,29.74,37411.0,1.98,1104,1.49
216,011810,STX,6090,-10,-0.16,,,2864.0,2.13,0,0.0
217,077970,STX엔진,8390,10,0.12,737.0,11.38,8586.0,0.98,0,0.0
218,071970,STX중공업,4320,105,2.49,,,4813.0,0.9,0,0.0
219,289080,SV인베스트먼트,5070,100,2.01,,,1006.0,5.04,30,0.59
220,084870,TBH글로벌,2010,5,0.25,,,5163.0,0.39,0,0.0
221,002710,TCC스틸,4770,-15,-0.31,225.0,21.2,4962.0,0.96,30,0.63
222,089230,THE E&M,1025,-5,-0.49,,,574.0,1.79,0,0.0
223,161570,THE MIDONG,1915,55,2.96,,,2085.0,0.92,0,0.0
224,032540,TJ미디어,4040,90,2.28,64.0,63.13,5642.0,0.72,50,1.24
225,048770,TPC,4485,25,0.56,,,2030.0,2.21,15,0.33
226,246690,TS인베스트먼트 [락],5910,300,5.35,134.0,44.1,957.0,6.18,25,0.42
227,317240,TS트릴리온,1355,-10,-0.73,,,,,0,0.0
228,038340,UCI,445,0,0.0,,,1110.0,0.4,0,0.0
229,073570,WI,1485,60,4.21,20.0,74.25,536.0,2.77,0,0.0
230,024070,WISCOM,4310,340,8.56,70.0,61.57,7697.0,0.56,50,1.16
231,052300,W홀딩컴퍼니,311,5,1.63,,,429.0,0.72,0,0.0
232,057030,YBM넷,8230,180,2.24,110.0,74.82,2583.0,3.19,0,0.0
233,037270,YG PLUS,5700,0,0.0,,,1562.0,3.65,0,0.0
234,040300,YTN,3995,-125,-3.03,,,4410.0,0.91,10,0.25
235,051390,YW,4815,-5,-0.1,218.0,22.09,6272.0,0.77,50,1.04
236,052220,iMBC,4165,-5,-0.12,93.0,44.78,2270.0,1.83,0,0.0
237,079940,가비아,15850,-100,-0.63,826.0,19.19,5410.0,2.93,40,0.25
238,078890,가온미디어,12850,100,0.78,1204.0,10.67,10280.0,1.25,100,0.78
239,000500,가온전선,27100,-850,-3.04,1391.0,19.48,61708.0,0.44,600,2.21
240,192410,감마누,4380,-110,-2.45,711.0,6.16,17361.0,0.25,0,0.0
241,036620,감성코퍼레이션,937,18,1.96,,,287.0,3.26,0,0.0
242,000860,강남제비스코,30600,100,0.33,2250.0,13.6,81019.0,0.38,500,1.63
243,217730,강스템바이오텍,6990,180,2.64,,,2936.0,2.38,0,0.0
244,114190,강원,2500,0,0.0,,,1211.0,2.06,0,0.0
245,035250,강원랜드,24750,-200,-0.8,1651.0,14.99,17377.0,1.42,900,3.64
246,094480,갤럭시아머니트리,8240,200,2.49,233.0,35.36,2344.0,3.52,55,0.67
247,011420,갤럭시아에스엠,1860,85,4.79,,,791.0,2.35,0,0.0
248,063080,게임빌,49450,1000,2.06,2110.0,23.44,38098.0,1.3,0,0.0
249,044480,경남바이오파마,2960,115,4.04,,,3458.0,0.86,0,0.0
250,039240,경남스틸,3585,-315,-8.08,186.0,19.27,3487.0,1.03,90,2.51
251,053950,경남제약,7090,30,0.42,,,3588.0,1.98,0,0.0
252,223310,경남제약헬스케어,3320,0,0.0,,,4820.0,0.69,0,0.0
253,002100,경농,13700,150,1.11,254.0,53.94,8484.0,1.61,220,1.61
254,009450,경동나비엔,51400,500,0.98,2207.0,23.29,23612.0,2.18,300,0.58
255,267290,경동도시가스,20300,50,0.25,4167.0,4.87,57537.0,0.35,875,4.31
256,012320,경동인베스트,40400,1250,3.19,4007.0,10.08,171962.0,0.23,500,1.24
257,011040,경동제약,10300,50,0.49,850.0,12.12,8539.0,1.21,400,3.88
258,000050,경방,13100,50,0.38,1630.0,8.04,27050.0,0.48,125,0.95
259,214390,경보제약,12750,250,2.0,221.0,57.69,6239.0,2.04,100,0.78
260,012610,경인양행,6950,30,0.43,344.0,20.2,5357.0,1.3,50,0.72
261,009140,경인전자,31100,850,2.81,182.0,170.88,34673.0,0.9,250,0.8
262,024910,경창산업,3150,-35,-1.1,,,2134.0,1.48,0,0.0
263,013580,계룡건설,33850,-650,-1.88,8363.0,4.05,50766.0,0.67,600,1.77
264,012200,계양전기,4495,35,0.78,4.0,1123.75,5425.0,0.83,35,0.78
265,012205,계양전기우,7120,-10,-0.14,,,,,40,0.56
266,002140,고려산업,4475,195,4.56,182.0,24.59,3842.0,1.16,30,0.67
267,198440,고려시멘트,4095,55,1.36,106.0,38.63,2766.0,1.48,15,0.37
268,049720,고려신용정보,7430,30,0.41,476.0,15.61,1577.0,4.71,250,3.36
269,010130,고려아연,413000,1000,0.24,35811.0,11.53,355878.0,1.16,14000,3.39
270,002240,고려제강,25100,-700,-2.71,434.0,57.83,59916.0,0.42,350,1.39
271,014570,고려제약,12050,350,2.99,357.0,33.75,5914.0,2.04,100,0.83
272,348150,고바이오랩,32950,150,0.46,,,,,0,0.0
273,098460,고영,121500,0,0.0,2192.0,55.43,17763.0,6.84,550,0.45
274,035290,골드앤에스,1305,0,0.0,,,50.0,26.1,0,0.0
275,038530,골드퍼시픽,1330,-20,-1.48,,,629.0,2.11,0,0.0
276,215000,골프존,91600,-1500,-1.61,2585.0,35.44,31877.0,2.87,2050,2.24
277,121440,골프존뉴딘홀딩스,7520,-130,-1.7,,,10475.0,0.72,117,1.56
278,009290,광동제약,8820,10,0.11,582.0,15.15,8069.0,1.09,80,0.91
279,014200,광림,1780,-10,-0.56,,,1480.0,1.2,0,0.0
280,017040,광명전기,2515,-35,-1.37,185.0,13.59,2255.0,1.12,15,0.6
281,017900,광전자,2380,10,0.42,66.0,36.06,3805.0,0.63,50,2.1
282,037710,광주신세계,170500,-500,-0.29,29953.0,5.69,413244.0,0.41,3500,2.05
283,026910,광진실업,4900,0,0.0,,,4384.0,1.12,0,0.0
284,090150,광진윈텍,4475,75,1.7,223.0,20.07,4315.0,1.04,100,2.23
285,355150,교보10호스팩,2130,-5,-0.23,,,,,0,0.0
286,331520,교보9호스팩,2150,10,0.47,,,,,0,0.0
287,030610,교보증권,8570,200,2.39,2391.0,3.58,26692.0,0.32,400,4.67
288,339770,교촌에프앤비,18750,400,2.18,1411.0,13.29,3835.0,4.89,96,0.51
289,053270,구영테크,4310,40,0.94,136.0,31.69,2717.0,1.59,30,0.7
290,007690,국도화학,77400,4300,5.88,6219.0,12.45,88911.0,0.87,1500,1.94
291,005320,국동,3900,-25,-0.64,,,2337.0,1.67,0,0.0
292,001140,국보,2275,180,8.59,,,1333.0,1.71,0,0.0
293,066620,국보디자인,25850,550,2.17,2293.0,11.27,16449.0,1.57,300,1.16
294,043650,국순당,8910,470,5.57,,,11214.0,0.79,100,1.12
295,006050,국영지앤엠,3035,15,0.5,32.0,94.84,1514.0,2.0,15,0.49
296,060480,국일신동,4685,85,1.85,,,4269.0,1.1,50,1.07
297,078130,국일제지,6500,-90,-1.37,,,357.0,18.21,0,0.0
298,307750,국전약품,7050,160,2.32,,,,,0,0.0
299,002720,국제약품,7530,80,1.07,,,3163.0,2.38,0,0.0
300,204020,그리티,3365,15,0.45,89.0,37.81,3678.0,0.91,30,0.89
301,083420,그린케미칼,15700,550,3.63,236.0,66.53,4521.0,3.47,170,1.08
302,186230,그린플러스,12350,0,0.0,337.0,36.65,3824.0,3.23,0,0.0
303,014530,극동유화,5310,-240,-4.32,422.0,12.58,4825.0,1.1,160,3.01
304,204620,글로벌텍스프리,3275,-10,-0.3,163.0,20.09,1953.0,1.68,0,0.0
305,019660,글로본,4735,-260,-5.21,,,714.0,6.63,0,0.0
306,014280,금강공업,6590,200,3.13,,,10865.0,0.61,80,1.21
307,014285,금강공업우,13400,100,0.75,,,,,90,0.67
308,053260,금강철강,9080,-40,-0.44,265.0,34.26,5902.0,1.54,100,1.1
309,008870,금비,72100,100,0.14,8088.0,8.91,103528.0,0.7,1700,2.36
310,001570,금양,4775,115,2.47,,,1535.0,3.11,0,0.0
311,002990,금호산업,9910,-90,-0.9,332.0,29.85,10364.0,0.96,500,5.05
312,002995,금호산업우,32100,150,0.47,,,,,550,1.71
313,011780,금호석유,248000,-6000,-2.36,10549.0,23.51,78488.0,3.16,1500,0.6
314,011785,금호석유우,104500,-2000,-1.88,,,,,1550,1.48
315,214330,금호에이치티,2340,100,4.46,,,2439.0,0.96,0,0.0
316,001210,금호전기,2715,70,2.65,,,3098.0,0.88,0,0.0
317,073240,금호타이어,3800,30,0.8,,,4383.0,0.87,0,0.0
318,036190,금화피에스시,31000,400,1.31,4614.0,6.72,39902.0,0.78,1300,4.19
319,049080,기가레인,1925,-20,-1.03,,,526.0,3.66,0,0.0
320,035460,기산텔레콤,3070,10,0.33,231.0,13.29,2198.0,1.4,0,0.0
321,092440,기신정기,5510,-180,-3.16,298.0,18.49,8125.0,0.68,150,2.72
322,000270,기아,84300,-300,-0.35,4556.0,18.5,71487.0,1.18,1150,1.36
323,024110,기업은행,9180,20,0.22,2242.0,4.09,33567.0,0.27,670,7.3
324,013700,까뮤이앤씨,2750,-25,-0.9,305.0,9.02,1571.0,1.75,30,1.09
325,308100,까스텔바작,13950,0,0.0,1083.0,12.88,11624.0,1.2,0,0.0
326,004540,깨끗한나라,7340,-230,-3.04,,,4260.0,1.72,0,0.0
327,004545,깨끗한나라우,34900,-1500,-4.12,,,,,0,0.0
328,187790,나노,1665,65,4.06,18.0,92.5,1954.0,0.85,0,0.0
329,286750,나노브릭,19600,0,0.0,,,3103.0,6.32,0,0.0
330,151910,나노스,7850,50,0.64,,,336.0,23.36,0,0.0
331,121600,나노신소재,28450,850,3.08,541.0,52.59,8591.0,3.31,120,0.42
332,247660,나노씨엠에스,17800,-200,-1.11,,,750.0,23.73,0,0.0
333,039860,나노엔텍,7680,280,3.78,219.0,35.07,1546.0,4.97,0,0.0
334,091970,나노캠텍,2300,-10,-0.43,,,2292.0,1.0,0,0.0
